id,ciiu_4n4
400,O8412
401,M6920
402,M7010
403,H4922
404,S9491
405,R9311
406,L6820
407,G4649
408,N8129
409,A0311
410,S9609
411,O8412
412,E3811
413,L6810
414,H4923
415,G4653
416,K6621
417,R9000
418,G4630
419,H4923
420,A0122
421,C1050
422,G4630
423,S9420
424,G4641
425,O8412
426,G4630
427,A0122
428,M7110
429,S9511
430,H4922
431,L6810
432,O8412
433,V0300
434,O8411
435,A0122
436,A0150
437,L6810
438,H4922
439,P8521
440,F4100
441,A0311
442,G4773
443,S9511
444,M7490
445,L6810
446,L6820
447,J6010
448,K6419
449,R9311
450,G4690
451,I5610
452,L6820
453,M7310
454,A0220
455,G4620
456,S9420
457,H4922
458,P8549
459,M7020
460,O8413
461,H4923
462,G4630
463,M7020
464,S9420
465,E3600
466,N7730
467,G4649
468,G4649
469,M7020
470,F4100
471,F4100
472,I5610
473,K6419
474,I5510
475,H4923
476,M7020
477,H4923
478,G4799
479,Q8620
480,P8549
481,A0240
482,F4321
483,A0150
484,L6810
485,Q8620
486,G4659
487,G4690
488,G4663
489,M6920
490,S9609
491,A0122
492,G4659
493,M7110
494,M7020
495,O8411
496,S9491
497,S9499
498,M7310
499,G4630
500,F4210
501,M6910
502,G4620
503,S9499
504,M6920
505,L6810
506,G4741
507,H4923
508,O8423
509,M7310
510,H5320
511,N8129
512,F4100
513,A0122
514,J5911
515,F4100
516,G4641
517,K6619
518,C1104
519,A0150
520,A0150
521,J6209
522,K6530
523,F4100
524,L6810
525,O8412
526,C1392
527,C2399
528,Q8890
529,G4741
530,V0300
531,H5221
532,C2100
533,C2220
534,J6130
535,N8129
536,F4100
537,M7020
538,A0141
539,G4510
540,N8010
541,G4690
542,N7810
543,R9311
544,M7020
545,R9329
546,F4210
547,A0163
548,Q8620
549,L6820
550,B0910
551,Q8890
552,C2592
553,J6311
554,M7020
555,G4653
556,M7110
557,M7110
558,O8412
559,Q8890
560,H4922
561,M7020
562,G4510
563,H4923
564,G4630
565,O8413
566,G4530
567,J6120
568,A0321
569,M7020
570,G4661
571,C1079
572,H4923
573,N7911
574,S9499
575,C1104
576,K6430
577,H4923
578,J6201
579,C2100
580,C1061
581,L6810
582,M6920
583,C1073
584,H4923
585,L6810
586,G4620
587,H4922
588,H4923
589,G4649
590,M7310
591,H4922
592,Q8690
593,C3312
594,N7710
595,G4741
596,K6630
597,H4923
598,G4630
599,L6820
600,Q8890
601,G4649
602,G4659
603,L6820
604,G4510
605,F4100
606,G4659
607,G4730
608,J6110
609,N7990
610,C2420
611,G4530
612,H4923
613,A0150
614,B0620
615,I5610
616,N7911
617,S9609
618,C1621
619,V0300
620,A0163
621,K6619
622,G4659
623,S9420
624,O8423
625,Q8890
626,G4690
627,G4649
628,G4663
629,P8549
630,G4510
631,H4923
632,G4711
633,A0126
634,Q8610
635,C1410
636,O8423
637,N7911
638,B0910
639,P8549
640,G4772
641,P8549
642,H4922
643,L6820
644,H4923
645,H4922
646,G4741
647,M7020
648,F4100
649,M6920
650,S9499
651,K6430
652,S9491
653,G4663
654,K6419
655,L6820
656,C3250
657,K6530
658,F4390
659,N7911
660,A0122
661,F4100
662,G4649
663,K6499
664,G4663
665,F4210
666,F4290
667,S9609
668,C1079
669,S9491
670,M6920
671,E3700
672,M7110
673,M7020
674,G4651
675,G4663
676,E3600
677,L6820
678,G4652
679,M7020
680,L6820
681,G4630
682,S9420
683,S9420
684,S9420
685,K6419
686,F4100
687,G4651
688,S9499
689,F4210
690,Q8890
691,H4923
692,K6419
693,A0311
694,F4100
695,M7020
696,S9499
697,S9420
698,K6419
699,M7020
700,G4530
701,S9499
702,M7110
703,L6820
704,K6499
705,A0112
706,L6820
707,A0321
708,F4321
709,L6820
710,O8411
711,I5610
712,H5229
713,L6820
714,L6810
715,H4923
716,C1062
717,N8010
718,N7911
719,S9491
720,G4730
721,P8549
722,G4641
723,O8413
724,L6810
725,Q8890
726,S9420
727,L6820
728,K6630
729,P8510
730,L6810
731,F4321
732,S9511
733,L6820
734,S9420
735,M7110
736,P8510
737,O8412
738,G4659
739,M7020
740,C1050
741,O8413
742,A0311
743,V0300
744,I5510
745,H4923
746,N7710
747,C2013
748,M7110
749,H5221
750,L6820
751,J6120
752,K6622
753,O8412
754,G4651
755,M7110
756,G4759
757,C1621
758,G4630
759,L6820
760,I5510
761,F4210
762,Q8610
763,O8412
764,H5210
765,H4923
766,G4630
767,I5610
768,K6630
769,S9609
770,L6810
771,K6630
772,N8230
773,H4923
774,F4100
775,J6201
776,S9420
777,H4923
778,C1520
779,G4610
780,L6820
781,P8510
782,M6920
783,C2393
784,G4649
785,C1392
786,M7020
787,P8521
788,M7310
789,O8413
790,H4923
791,C1079
792,G4652
793,C3100
794,Q8620
795,S9420
796,K6430
797,F4210
798,H4923
799,F4100
800,A0111
801,G4530
802,H4923
803,G4641
804,Q8690
805,C1020
806,H4922
807,O8422
808,H5221
809,M7490
810,G4773
811,E3811
812,N8010
813,M7310
814,G4651
815,C1410
816,Q8620
817,L6820
818,M7020
819,G4651
820,I5610
821,C2021
822,A0145
823,I5610
824,G4610
825,C1812
826,B0910
827,L6810
828,G4659
829,F4210
830,V0300
831,N8129
832,H4922
833,F4100
834,G4530
835,M7020
836,S9420
837,G4649
838,S9499
839,O8411
840,M7310
841,S9420
842,L6820
843,M7020
844,N7710
845,S9420
846,G4659
847,M7220
848,O8412
849,O8412
850,K6611
851,L6810
852,G4690
853,L6810
854,G4741
855,F4330
856,H4923
857,G4630
858,P8549
859,G4663
860,L6810
861,H4921
862,S9491
863,L6810
864,G4641
865,H4921
866,H5221
867,O8411
868,F4100
869,C1061
870,O8412
871,K6611
872,Q8790
873,G4649
874,R9311
875,L6810
876,F4210
877,S9491
878,F4210
879,M7490
880,F4220
881,C2395
882,H5221
883,G4771
884,K6622
885,G4649
886,G4630
887,F4210
888,H4923
889,C2819
890,G4652
891,S9601
892,G4730
893,K6619
894,H4923
895,G4659
896,A0141
897,P8549
898,N7710
899,J5813
900,N7911
901,N7911
902,O8413
903,N7730
904,L6810
905,G4530
906,H5221
907,C1061
908,G4530
909,H4923
910,A0112
911,L6820
912,M7020
913,H4923
914,A0141
915,G4652
916,H5221
917,C1010
918,P8510
919,A0111
920,J6209
921,M7310
922,F4322
923,A0142
924,G4690
925,Q8620
926,H5229
927,L6810
928,A0311
929,M7490
930,P8521
931,M7500
932,H4923
933,S9491
934,M7010
935,R9311
936,G4649
937,C2511
938,O8411
939,O8411
940,L6820
941,O8413
942,P8510
943,H5221
944,A0163
945,O8412
946,G4649
947,G4741
948,G4730
949,O8411
950,K6622
951,O8411
952,S9420
953,P8510
954,M7020
955,Q8620
956,N7729
957,N7729
958,M7310
959,L6820
960,G4649
961,N8121
962,L6820
963,O8411
964,G4663
965,B0729
966,C1811
967,C2012
968,M7110
969,F4210
970,M7020
971,H4923
972,L6820
973,M7010
974,L6820
975,M6910
976,P8521
977,P8549
978,H4923
979,L6820
980,N8010
981,S9491
982,H5224
983,F4390
984,H4923
985,G4620
986,A0146
987,K6630
988,B0893
989,A0146
990,L6820
991,P8549
992,G4641
993,S9491
994,G4651
995,G4659
996,H5221
997,G4530
998,G4659
999,M6910
1000,N7911
1001,G4651
1002,O8411
1003,Q8610
1004,G4652
1005,F4220
1006,E3700
1007,L6810
1008,G4690
1009,C1010
1010,Q8790
1011,M7110
1012,L6820
1013,M7310
1014,G4649
1015,Q8720
1016,O8413
1017,H5120
1018,L6820
1019,F4100
1020,N8010
1021,N8129
1022,Q8890
1023,H5221
1024,F4100
1025,O8413
1026,G4669
1027,G4663
1028,G4659
1029,L6820
1030,S9420
1031,M7020
1032,L6820
1033,I5510
1034,I5630
1035,G4669
1036,C1811
1037,L6820
1038,O8411
1039,K6499
1040,H4923
1041,G4620
1042,F4100
1043,H4921
1044,G4630
1045,K6630
1046,H4923
1047,Q8620
1048,L6820
1049,Q8890
1050,R9319
1051,N7911
1052,G4630
1053,N8020
1054,M7020
1055,C1920
1056,H4921
1057,G4659
1058,L6820
1059,L6820
1060,G4721
1061,S9499
1062,J6201
1063,G4741
1064,Q8620
1065,A0122
1066,G4663
1067,A0146
1068,G4741
1069,M7110
1070,G4649
1071,G4620
1072,G4690
1073,N7911
1074,H4923
1075,C3312
1076,J5813
1077,J5920
1078,O8413
1079,I5610
1080,B0893
1081,A0150
1082,O8411
1083,O8411
1084,L6820
1085,A0150
1086,G4730
1087,C1410
1088,F4100
1089,M7020
1090,J6201
1091,B0729
1092,J6209
1093,R9000
1094,L6820
1095,F4100
1096,O8411
1097,G4763
1098,M7010
1099,F4100
1100,M6910
1101,G4690
1102,C3240
1103,G4669
1104,G4651
1105,A0210
1106,M7020
1107,S9420
1108,M7110
1109,G4630
1110,G4690
1111,J6201
1112,L6810
1113,L6820
1114,N7710
1115,O8413
1116,M7020
1117,S9411
1118,L6810
1119,K6419
1120,F4100
1121,L6810
1122,Q8610
1123,I5621
1124,F4100
1125,K6622
1126,L6810
1127,S9411
1128,G4630
1129,C1079
1130,G4659
1131,L6810
1132,Q8710
1133,E3600
1134,L6820
1135,G4761
1136,C2592
1137,M7020
1138,F4210
1139,L6820
1140,G4651
1141,H4923
1142,G4663
1143,F4210
1144,G4663
1145,R9311
1146,C1393
1147,O8411
1148,L6820
1149,H4923
1150,F4100
1151,I5610
1152,F4100
1153,M7110
1154,S9499
1155,F4100
1156,F4321
1157,K6622
1158,H4921
1159,N7730
1160,C2012
1161,S9420
1162,S9511
1163,N8230
1164,G4649
1165,L6820
1166,S9420
1167,M7020
1168,G4690
1169,O8412
1170,G4649
1171,H5229
1172,P8522
1173,H5224
1174,G4641
1175,J6201
1176,N7911
1177,Q8810
1178,S9491
1179,L6810
1180,C1812
1181,S9420
1182,G4773
1183,J6201
1184,M7110
1185,R9319
1186,K6611
1187,M6920
1188,M7020
1189,J6190
1190,G4530
1191,G4630
1192,O8411
1193,S9420
1194,G4690
1195,A0163
1196,O8412
1197,G4630
1198,L6820
1199,F4100
1200,S9491
1201,P8549
1202,G4530
1203,G4771
1204,N7911
1205,Q8620
1206,F4100
1207,M6920
1208,I5610
1209,K6611
1210,L6810
1211,H4923
1212,H4923
1213,F4100
1214,J6201
1215,S9420
1216,M7010
1217,C1079
1218,F4321
1219,O8412
1220,B0899
1221,M7020
1222,S9420
1223,C2100
1224,R9329
1225,S9420
1226,M7490
1227,Q8620
1228,M7020
1229,M7110
1230,G4690
1231,G4520
1232,H5221
1233,H4923
1234,F4100
1235,P8510
1236,G4630
1237,Q8610
1238,N7911
1239,F4100
1240,M6910
1241,L6820
1242,G4741
1243,Q8620
1244,O8430
1245,G4630
1246,G4773
1247,G4630
1248,L6820
1249,L6820
1250,G4659
1251,G4510
1252,P8549
1253,J6201
1254,O8411
1255,C2816
1256,A0122
1257,H5229
1258,C2395
1259,C2511
1260,Q8890
1261,M7020
1262,K6622
1263,G4663
1264,F4100
1265,S9491
1266,C1701
1267,H4923
1268,P8530
1269,G4661
1270,S9420
1271,L6820
1272,A0163
1273,F4220
1274,L6820
1275,G4663
1276,H5221
1277,M7020
1278,G4690
1279,C1392
1280,L6810
1281,H4921
1282,I5510
1283,M7310
1284,S9411
1285,F4330
1286,G4690
1287,N8010
1288,S9420
1289,F4210
1290,L6810
1291,N7911
1292,Q8610
1293,G4752
1294,K6419
1295,L6810
1296,A0125
1297,A0141
1298,K6630
1299,G4659
1300,O8412
1301,F4210
1302,H4923
1303,G4649
1304,L6820
1305,P8510
1306,G4690
1307,Q8730
1308,G4530
1309,Q8890
1310,V0300
1311,H4922
1312,M7020
1313,G4690
1314,M7220
1315,N8010
1316,L6820
1317,L6810
1318,I5621
1319,G4630
1320,G4690
1321,A0163
1322,G4730
1323,L6820
1324,C1410
1325,C2819
1326,G4741
1327,O8411
1328,G4759
1329,M7490
1330,G4530
1331,A0321
1332,L6810
1333,M7220
1334,C1101
1335,G4663
1336,G4663
1337,H4922
1338,G4649
1339,A0122
1340,H5221
1341,A0119
1342,G4620
1343,M7020
1344,H4923
1345,M7310
1346,G4649
1347,H4922
1348,L6810
1349,N8129
1350,K6419
1351,G4652
1352,F4321
1353,C2511
1354,N7911
1355,N8129
1356,K6419
1357,G4530
1358,R9329
1359,M7110
1360,M7010
1361,G4620
1362,H5012
1363,G4641
1364,P8510
1365,Q8620
1366,L6820
1367,H5224
1368,H4923
1369,C1312
1370,P8549
1371,N8010
1372,K6611
1373,G4690
1374,C1399
1375,C2630
1376,M7210
1377,L6820
1378,G4510
1379,O8411
1380,E3600
1381,L6810
1382,G4690
1383,C1103
1384,A0127
1385,G4663
1386,I5610
1387,O8411
1388,M7310
1389,F4390
1390,M7310
1391,M7020
1392,G4690
1393,F4330
1394,R9000
1395,N8010
1396,M7020
1397,P8549
1398,N7730
1399,S9420
1400,M6910
1401,F4100
1402,L6810
1403,G4649
1404,S9420
1405,O8411
1406,K6630
1407,O8423
1408,A0321
1409,M7110
1410,I5610
1411,H4923
1412,G4773
1413,F4100
1414,N7730
1415,G4653
1416,M7020
1417,M7110
1418,F4100
1419,F4100
1420,P8521
1421,M7020
1422,B0610
1423,S9420
1424,F4210
1425,S9420
1426,H5012
1427,M6920
1428,C2710
1429,J6110
1430,S9411
1431,F4220
1432,Q8610
1433,G4652
1434,G4651
1435,H5221
1436,M7020
1437,G4630
1438,H4922
1439,A0150
1440,M7020
1441,F4220
1442,M7020
1443,M7020
1444,H4923
1445,M7110
1446,K6630
1447,G4653
1448,G4663
1449,G4772
1450,L6810
1451,G4690
1452,G4741
1453,M7020
1454,M7110
1455,G4620
1456,O8411
1457,M6920
1458,O8411
1459,J5911
1460,H4923
1461,H5221
1462,C1061
1463,F4210
1464,S9420
1465,L6810
1466,G4659
1467,Q8690
1468,G4659
1469,M7020
1470,Q8610
1471,G4530
1472,N7990
1473,P8521
1474,C1030
1475,A0114
1476,O8412
1477,A0141
1478,G4663
1479,F4100
1480,M7020
1481,G4630
1482,H4923
1483,S9609
1484,M7310
1485,H5221
1486,M7110
1487,O8412
1488,G4641
1489,N7911
1490,G4659
1491,H4923
1492,F4100
1493,G4659
1494,G4649
1495,L6810
1496,B0729
1497,G4641
1498,G4663
1499,L6820
1500,D3510
1501,G4510
1502,G4651
1503,C1050
1504,M6920
1505,F4100
1506,E3700
1507,S9491
1508,Q8810
1509,C2219
1510,S9420
1511,A0163
1512,F4100
1513,N7911
1514,Q8620
1515,S9420
1516,A0240
1517,M7020
1518,C2023
1519,K6622
1520,G4711
1521,G4530
1522,K6630
1523,S9420
1524,G4719
1525,S9499
1526,V0300
1527,G4530
1528,F4321
1529,G4649
1530,C1079
1531,J6209
1532,L6820
1533,G4719
1534,Q8620
1535,S9420
1536,M6920
1537,Q8620
1538,M7020
1539,G4530
1540,I5610
1541,N7911
1542,G4641
1543,G4721
1544,A0122
1545,C3012
1546,M7020
1547,M7490
1548,J6201
1549,M7020
1550,Q8890
1551,L6820
1552,L6820
1553,M7020
1554,F4100
1555,F4100
1556,H4923
1557,F4100
1558,F4100
1559,O8430
1560,C2592
1561,G4630
1562,O8412
1563,M7020
1564,Q8890
1565,P8521
1566,C1811
1567,O8412
1568,Q8890
1569,M7110
1570,F4100
1571,H4923
1572,H4922
1573,G4690
1574,J6201
1575,G4630
1576,K6619
1577,Q8690
1578,O8412
1579,K6619
1580,R9101
1581,H5224
1582,C1050
1583,G4690
1584,G4669
1585,F4210
1586,G4663
1587,G4690
1588,N7730
1589,C2220
1590,H4922
1591,M7020
1592,G4730
1593,S9420
1594,I5610
1595,P8521
1596,G4772
1597,A0112
1598,M7110
1599,L6810
1600,H5221
1601,S9420
1602,C3312
1603,A0150
1604,I5630
1605,H4921
1606,J6120
1607,K6630
1608,S9491
1609,M7010
1610,B0729
1611,G4690
1612,Q8790
1613,M7320
1614,L6810
1615,S9420
1616,H4923
1617,G4690
1618,G4690
1619,G4659
1620,S9420
1621,L6820
1622,C1399
1623,Q8720
1624,L6810
1625,G4659
1626,S9491
1627,O8412
1628,O8412
1629,O8412
1630,O8412
1631,M7020
1632,M7310
1633,S9603
1634,Q8610
1635,G4772
1636,A0111
1637,F4321
1638,M7020
1639,I5610
1640,S9420
1641,L6810
1642,Q8890
1643,G4663
1644,S9420
1645,M7020
1646,S9491
1647,G4630
1648,M6910
1649,F4321
1650,M7020
1651,C1079
1652,O8411
1653,A0163
1654,I5610
1655,C1010
1656,F4100
1657,N7730
1658,H5229
1659,G4663
1660,F4100
1661,L6810
1662,K6619
1663,G4641
1664,S9420
1665,N7990
1666,G4520
1667,Q8890
1668,P8510
1669,C2819
1670,Q8790
1671,G4741
1672,F4100
1673,N7911
1674,M7020
1675,C2029
1676,F4100
1677,R9311
1678,G4649
1679,G4510
1680,H4923
1681,A0113
1682,I5610
1683,C2819
1684,C2022
1685,C1811
1686,O8412
1687,S9499
1688,M7020
1689,L6810
1690,R9321
1691,P8510
1692,G4711
1693,I5610
1694,S9420
1695,R9101
1696,C1079
1697,H4923
1698,G4530
1699,M7210
1700,M7020
1701,Q8720
1702,G4659
1703,V0300
1704,G4663
1705,H4923
1706,O8411
1707,K6419
1708,G4690
1709,G4663
1710,G4741
1711,C1709
1712,S9491
1713,G4659
1714,L6820
1715,A0163
1716,C2930
1717,M7020
1718,N8291
1719,L6810
1720,G4510
1721,O8412
1722,M7020
1723,H4921
1724,E3600
1725,K6419
1726,A0321
1727,L6820
1728,O8411
1729,S9420
1730,Q8730
1731,G4530
1732,G4641
1733,P8549
1734,S9420
1735,C2599
1736,M7500
1737,L6820
1738,M6910
1739,G4530
1740,F4210
1741,H4923
1742,P8510
1743,C1079
1744,O8412
1745,H4922
1746,K6430
1747,G4752
1748,G4651
1749,Q8620
1750,R9311
1751,I5610
1752,P8521
1753,C1102
1754,G4663
1755,G4630
1756,M6910
1757,S9420
1758,S9491
1759,L6820
1760,G4520
1761,A0111
1762,M7210
1763,H5221
1764,G4520
1765,G4610
1766,H4921
1767,P8510
1768,Q8890
1769,C1020
1770,N7990
1771,J6120
1772,L6810
1773,M7020
1774,H4923
1775,L6810
1776,N7911
1777,M7110
1778,K6499
1779,O8412
1780,G4719
1781,F4100
1782,C2410
1783,H5223
1784,G4641
1785,B0910
1786,G4641
1787,C2220
1788,M7020
1789,G4719
1790,Q8890
1791,M7020
1792,G4649
1793,S9420
1794,M7310
1795,A0122
1796,M7020
1797,H4922
1798,G4630
1799,M7110
1800,A0149
1801,O8412
1802,Q8790
1803,L6810
1804,C2220
1805,G4690
1806,K6419
1807,H4923
1808,M7020
1809,B0729
1810,L6820
1811,L6820
1812,K6611
1813,H5224
1814,G4630
1815,G4741
1816,H4923
1817,G4669
1818,J6391
1819,C2819
1820,A0149
1821,P8510
1822,S9420
1823,K6619
1824,M7110
1825,H4921
1826,H4922
1827,S9420
1828,Q8720
1829,G4669
1830,C1811
1831,J6202
1832,P8521
1833,Q8610
1834,M6920
1835,S9491
1836,H5210
1837,G4711
1838,K6611
1839,S9420
1840,L6810
1841,H4922
1842,M7020
1843,S9491
1844,H5229
1845,V0300
1846,H4922
1847,G4663
1848,A0126
1849,A0119
1850,N8219
1851,C1410
1852,G4641
1853,G4752
1854,N7710
1855,Q8790
1856,S9491
1857,I5510
1858,F4321
1859,M7020
1860,H4922
1861,G4641
1862,Q8790
1863,K6622
1864,H4923
1865,K6499
1866,S9420
1867,G4771
1868,A0150
1869,O8421
1870,F4210
1871,C2822
1872,G4741
1873,A0321
1874,Q8890
1875,M7020
1876,G4651
1877,L6820
1878,L6820
1879,F4100
1880,Q8690
1881,G4649
1882,M6920
1883,S9420
1884,O8413
1885,L6820
1886,L6820
1887,L6820
1888,O8413
1889,O8412
1890,F4100
1891,L6810
1892,C1079
1893,L6820
1894,K6419
1895,G4663
1896,R9311
1897,M7020
1898,J6311
1899,N8219
1900,G4641
1901,A0163
1902,N7911
1903,B0729
1904,F4100
1905,F4321
1906,F4100
1907,S9411
1908,H5221
1909,Q8720
1910,Q8620
1911,C2013
1912,G4620
1913,M7310
1914,S9491
1915,G4620
1916,M7020
1917,F4100
1918,M7010
1919,H4922
1920,D3510
1921,G4659
1922,M7110
1923,C3100
1924,J6201
1925,M7110
1926,E3700
1927,L6810
1928,S9420
1929,G4663
1930,C1030
1931,H5224
1932,Q8620
1933,N7911
1934,Q8620
1935,B0810
1936,N7911
1937,A0163
1938,S9609
1939,S9491
1940,P8510
1941,G4741
1942,O8411
1943,A0163
1944,G4659
1945,K6611
1946,S9411
1947,K6511
1948,M7110
1949,G4663
1950,C2013
1951,M7310
1952,P8521
1953,L6810
1954,G4652
1955,M6910
1956,H5229
1957,F4210
1958,G4663
1959,Q8620
1960,K6419
1961,Q8890
1962,V0300
1963,R9311
1964,H4923
1965,M7010
1966,S9412
1967,N7911
1968,G4690
1969,L6820
1970,R9311
1971,M7020
1972,I5630
1973,P8521
1974,M7310
1975,G4663
1976,G4669
1977,H4921
1978,C3100
1979,M7110
1980,G4652
1981,G4690
1982,S9491
1983,L6820
1984,G4649
1985,N7911
1986,H4923
1987,N7911
1988,N7911
1989,N7730
1990,R9311
1991,M6920
1992,A0150
1993,F4100
1994,F4100
1995,S9420
1996,N7911
1997,S9609
1998,G4649
1999,G4690
2000,M7490
2001,K6611
2002,A0122
2003,M7110
2004,C1701
2005,H4922
2006,A0150
2007,K6622
2008,N7730
2009,I5621
2010,M7490
2011,C1812
2012,F4100
2013,H4923
2014,G4730
2015,H4923
2016,G4649
2017,H4923
2018,M6920
2019,A0163
2020,Q8620
2021,N7810
2022,H4923
2023,M7020
2024,F4100
2025,C1080
2026,G4630
2027,M7020
2028,H4923
2029,K6630
2030,G4641
2031,G4690
2032,G4510
2033,B0620
2034,H4923
2035,H4923
2036,H4922
2037,H5221
2038,G4759
2039,M6920
2040,F4100
2041,G4751
2042,G4690
2043,F4100
2044,L6820
2045,Q8890
2046,A0122
2047,P8510
2048,L6810
2049,S9420
2050,G4610
2051,A0312
2052,C1079
2053,S9420
2054,G4690
2055,F4100
2056,L6810
2057,M6920
2058,Q8890
2059,G4630
2060,Q8620
2061,I5510
2062,O8423
2063,N7912
2064,O8412
2065,M7310
2066,G4641
2067,G4652
2068,G4620
2069,G4520
2070,H5229
2071,G4652
2072,F4100
2073,H4923
2074,G4661
2075,S9411
2076,P8510
2077,H4923
2078,N7911
2079,G4659
2080,L6810
2081,B0910
2082,N8010
2083,G4530
2084,C1073
2085,G4530
2086,O8412
2087,M7110
2088,N7911
2089,G4630
2090,K6430
2091,O8413
2092,K6630
2093,S9491
2094,M7310
2095,G4659
2096,B0729
2097,S9420
2098,G4662
2099,F4210
2100,G4741
2101,M7310
2102,P8549
2103,G4690
2104,M7310
2105,E3811
2106,H5224
2107,F4100
2108,C2819
2109,C1392
2110,N8010
2111,J6201
2112,A0163
2113,G4652
2114,I5510
2115,F4321
2116,G4659
2117,M7020
2118,S9609
2119,H4923
2120,G4630
2121,L6820
2122,L6820
2123,A0321
2124,A0146
2125,L6820
2126,C2100
